type,week,cluster_id,current_share,baseline_share,z_score,severity,cluster_label,entity,observed,expected,ratio,p_value,novel_count,total_count,novel_share,sample_complaint_ids,companies_affected,company_list,avg_growth_ratio,common_issues,score
cluster_growing,2024-04-08/2024-04-14,25.0,4.43,1.57,7.3,high,"usc, 15 usc, 15, evidence, usc 1681i",,,,,,,,,,,,,,17.3
cluster_growing,2024-04-22/2024-04-28,3.0,6.91,3.15,7.26,high,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,17.259999999999998
volume_spike,2025-01-20/2025-01-26,,,,,high,,"Ability Recovery Services, LLC",11.0,3.0,3.67,0.000292,,,,,,,,,17.204616999820622
volume_spike,2024-02-26/2024-03-03,,,,,high,,JPMORGAN CHASE & CO.,11.0,3.0,3.67,0.000292,,,,,,,,,17.204616999820622
volume_spike,2024-08-12/2024-08-18,,,,,high,,AMERICAN EXPRESS COMPANY,11.0,3.0,3.67,0.000292,,,,,,,,,17.204616999820622
volume_spike,2024-01-22/2024-01-28,,,,,medium,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",153.0,72.2,2.12,0.0,,,,,,,,,17.12
volume_spike,2023-11-27/2023-12-03,,,,,high,,AMERICAN EXPRESS COMPANY,6.0,1.3,4.5,0.002525,,,,,,,,,17.097738600345536
volume_spike,2024-01-22/2024-01-28,,,,,medium,,Experian Information Solutions Inc.,141.0,69.2,2.04,0.0,,,,,,,,,17.04
volume_spike,2024-01-22/2024-01-28,,,,,medium,,"EQUIFAX, INC.",115.0,56.2,2.04,0.0,,,,,,,,,17.04
volume_spike,2024-08-12/2024-08-18,,,,,high,,"HW Holding, Inc",15.0,4.8,3.16,0.000132,,,,,,,,,17.039425739783304
cluster_growing,2025-01-20/2025-01-26,11.0,12.32,7.52,7.01,high,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,17.009999999999998
cluster_growing,2024-09-30/2024-10-06,3.0,9.12,4.4,7.01,high,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,17.009999999999998
volume_spike,2024-12-30/2025-01-05,,,,,high,,"Debt Recovery Solutions, LLC",9.0,2.3,3.86,0.000709,,,,,,,,,17.00935370356243
cluster_shrinking,2024-06-17/2024-06-23,21.0,2.75,8.33,-6.98,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,16.98
cluster_growing,2024-04-01/2024-04-07,21.0,12.35,7.04,6.96,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,16.96
volume_spike,2024-12-30/2025-01-05,,,,,high,,"Aldous & Associates, PLLC",10.0,2.8,3.64,0.000576,,,,,,,,,16.879577441178448
volume_spike,2024-09-23/2024-09-29,,,,,high,,WELLS FARGO & COMPANY,10.0,2.8,3.64,0.000576,,,,,,,,,16.879577441178448
cluster_shrinking,2024-06-17/2024-06-23,26.0,0.15,3.83,-6.87,high,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,16.87
cluster_shrinking,2024-04-08/2024-04-14,26.0,8.16,14.31,-6.78,high,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,16.78
cluster_growing,2024-12-09/2024-12-15,16.0,6.61,2.91,6.69,high,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,16.69
cluster_shrinking,2024-06-03/2024-06-09,21.0,3.0,7.98,-6.69,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,16.69
cluster_shrinking,2025-01-13/2025-01-19,3.0,0.05,2.31,-6.68,high,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,16.68
volume_spike,2024-09-02/2024-09-08,,,,,high,,OneMain Finance Corporation,7.0,1.8,4.0,0.002201,,,,,,,,,16.657379937714964
volume_spike,2024-06-10/2024-06-16,,,,,high,,"Debt Recovery Solutions, LLC",7.0,1.8,4.0,0.002201,,,,,,,,,16.657379937714964
volume_spike,2025-01-13/2025-01-19,,,,,high,,"Capio Partners, LLC",7.0,1.8,4.0,0.002201,,,,,,,,,16.657379937714964
volume_spike,2024-02-26/2024-03-03,,,,,high,,ALLY FINANCIAL INC.,7.0,1.8,4.0,0.002201,,,,,,,,,16.657379937714964
volume_spike,2024-10-07/2024-10-13,,,,,high,,"ONLINE Information Services, Inc.",7.0,1.8,4.0,0.002201,,,,,,,,,16.657379937714964
cluster_shrinking,2024-01-22/2024-01-28,11.0,6.88,14.47,-6.65,high,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,16.65
volume_spike,2024-09-23/2024-09-29,,,,,high,,V and H Portfolio,11.0,3.2,3.38,0.000564,,,,,,,,,16.628720819014095
